"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-01","3.8",,"0.0","0.0","0.0",,"5.0","1.1",,"  270","  260","7.6","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-02","2.4",,"0.0","0.0","0.0",,"9.4","0.6",,"  230","  220","5.8","9.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-03","1.5",,"3.8","0.0","0.0",,"9.4","6.7",,"  250","  230","4.5","6.7","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-04","2.0",,"6.9","0.0","0.0",,"10.6","5.0",,"  300","  330","6.7","10.7","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-05","5.1",,"0.0","0.0","0.0",,"5.6","1.7",,"  300","  300","11.2","19.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-06","2.7",,"1.0","5.0","0.0",,"7.2","0.0",,"  250","  230","7.2","10.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-07","2.3",,"0.0","0.0","0.0",,"7.2","2.2",,"  230","  240","7.2","12.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-08","4.3",,"0.0","0.0","0.0",,"5.6","-2.1",,"  270","  280","9.4","15.7",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-09","2.0",,"0.0","0.0","0.0",,"1.1","-4.9",,"  300","  290","7.6","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-10","2.8",,"0.0","0.0","0.0",,"12.8","0.6",,"  240","  220","6.3","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-11","2.4",,"0.0","0.0","0.0",,"20.6","10.6",,"  230","  210","6.7","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-12","3.9",,"1.3","0.0","0.0",,"20.0","6.1",,"  260","  240","9.8","15.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-13","2.0",,"0.0","0.0","0.0",,"7.8","2.8",,"   50","   70","6.3","8.1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-14","1.7",,"1.8","0.0","0.0",,"7.8","3.9",,"  140","  140","5.4","6.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-15","2.3",,"0.0","0.0","0.0",,"10.0","5.0",,"  270","  270","5.8","8.9","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01-16","4.6",,"2.8","0.0","0.0",,"9.4","0.6",,"  290","  270","9.8","17.9","    1",,,,,"    1"
